Player,Span_bat,Mat_bat,Inns_bat,NO_bat,Runs_bat,HS_bat,Ave_bat,BF_bat,SR_bat,100_bat,50_bat,0_bat,Span_bowl,Mat_bowl,Inns_bowl,Balls_bowl,Runs_bowl,Wkts_bowl,BBI_bowl,Ave_bowl,Econ_bowl,SR_bowl,4_bowl,5_bowl,Country
jm bairstow,2011-2019,63,57,8,2329,141*,47.53,2176,107.03,7,9,3,2011-2019,63,-,-,-,-,-,-,-,-,-,-,ENG
mdkj perera,2013-2019,88,83,5,2283,135,29.26,2515,90.77,4,11,8,2013-2019,88,-,-,-,-,-,-,-,-,-,-,SL
sd hope,2016-2019,54,50,6,2247,170,51.06,2943,76.35,6,10,4,2016-2019,54,-,-,-,-,-,-,-,-,-,-,WI
ba stokes,2011-2019,84,71,12,2217,102*,37.57,2356,94.10,3,15,5,2011-2019,84,69,2607,2674,63,5/61,42.44,6.15,41.3,1,1,ENG
nltc perera,2009-2019,154,121,16,2147,140,20.44,1912,112.29,1,10,11,2009-2019,154,145,5433,5313,170,6/44,31.25,5.86,31.9,5,4,SL
sarfaraz ahmed,2007-2019,106,80,19,2128,105,34.88,2413,88.18,2,10,1,2007-2019,106,1,12,15,0,-,-,7.5,-,0,0,PAK
asghar afghan,2009-2019,102,96,9,2078,101,23.88,3209,64.75,1,11,6,2009-2019,102,7,139,91,3,1/1,30.33,3.92,46.3,0,0,AFG
ra jadeja,2009-2019,151,101,33,2035,87,29.92,2416,84.23,0,10,6,2009-2019,151,147,7669,6245,174,5/36,35.89,4.88,44.0,7,1,INDIA
rahmat shah,2013-2019,61,57,2,2001,114,36.38,2825,70.83,4,14,2,2013-2019,61,22,446,435,13,5/32,33.46,5.85,34.3,0,1,AFG
kd karthik,2004-2019,91,77,21,1738,79,31.03,2358,73.70,0,9,6,2004-2019,91,-,-,-,-,-,-,-,-,-,-,INDIA
mashrafe mortaza,2001-2019,207,149,26,1738,51*,14.13,1982,87.68,0,1,15,2001-2019,207,207,10358,8290,264,6/26,31.40,4.80,39.2,7,1,BDESH
samiullah shinwari,2009-2019,81,71,10,1737,96,28.47,2673,64.98,0,11,1,2009-2019,81,64,2063,1697,46,4/31,36.89,4.93,44.8,1,0,AFG
bkg mendis,2016-2019,63,61,2,1692,102,28.67,1973,85.75,1,15,9,2016-2019,63,2,20,28,0,-,-,8.4,-,0,0,SL
mm ali,2014-2019,96,77,12,1691,128,26.01,1630,103.74,3,5,5,2014-2019,96,90,4396,3859,79,4/46,48.84,5.26,55.6,1,0,ENG
fakhar zaman,2017-2019,36,36,4,1642,210*,51.31,1673,98.14,4,10,3,2017-2019,36,7,135,111,1,1/19,111.00,4.93,135.0,0,0,PAK
jo holder,2013-2019,95,77,17,1574,99*,26.23,1682,93.57,0,8,8,2013-2019,95,93,4452,4116,121,5/27,34.01,5.54,36.7,4,2,WI
