,orignal_name,wikipedia_name
455,justice mujahid mustaqeem ahmed,Lahore High Court
456,justice nazar akbar,Gloria Macapagal Arroyo
457,justice omar sial,Omar Sial
458,justice qaiser rashid khan,Qaiser Rashid Khan
459,justice qalandar ali khan,List of Pakistanis
460,justice raja shahid mehmood abbasi,Shahid Khaqan Abbasi
461,justice rasheed ahmed soomro,Sindh High Court
462,justice sadaqat ali khan,Ashtar Ausaf Ali
463,justice sadiq mahmud khurram,List of Muhajir people
464,justice salahuddin panhwar,Salahuddin Panhwar
465,justice sardar muhammad sarfraz dogar,Sardar Muhammad Sarfraz Dogar
466,justice sardar muhammad shamim khan,Sardar Muhammad Shamim Khan
467,justice shahid bilal hassan,List of films banned in Pakistan
468,justice shahid waheed,Shahid Waheed
469,justice shakeel ahmad,List of people from Quetta
470,justice shakil-ur-rehman khan,Rahman (name)
471,justice shams mehmood mirza,List of Pakistanis
472,justice shamsuddin abbasi,Sindh High Court
473,justice shehram sarwar ch.,Lahore High Court
474,justice sheikh najam ul hasan,Najam ul Hasan
475,justice shujaat ali khan,Shujaat Ali Khan
476,justice syed afsar shah,Peshawar High Court
477,justice syed shahbaz ali rizvi,List of Pakistanis
478,justice yousuf ali sayeed,Yousuf Ali Sayeed
479,justice zafar ahmed rajput,Ahmad Shah I
480,kamal uddin,Kamal ad-Din
481,kamaluddin,Kamal ad-Din
482,"kamran rashid,psp",List of British Muslims
483,khabir muhammad,Government Laboratory High School
484,khadim hussain,Khadim Hussain Rizvi
485,khalid ahmed khan lund,Sardar Khalid Ahmed Khan Lund
486,khalifa al suwaidi,Tamim bin Hamad Al Thani
487,khan akbar,Ali Akbar Khan
488,khan khel,Kaddi
489,lal chand,Lal Chand Yamla Jatt
490,"latif ahmed siddiqui, sp",Mahvash & Jahangir Siddiqui Foundation
491,liaqat all,Liaqat National Bagh
492,liaquat ali abro,Jawani Phir Nahi Ani
493,mansoor ahmed laghari,List of Pakistanis
494,mehboob,Mehboob Khan
495,mehmood -ul-hassan,Mahmud of Ghazni
496,mehmood nawaz,Shah Mehmood Qureshi
497,mir shahnawaz talpur,Sijawal Junejo Taluka
498,miran muhammad shah,Miran Shah
499,muhammad afzal chaudhry advocate.,Iftikhar Muhammad Chaudhry
500,muhammad akhtar mengal,Mengal
501,muhammad akram chaudhry advocate.,"List of people from Punjab, Pakistan"
502,muhammad akram khaksar,List of people from Lahore
503,muhammad altaf,Altaf Fatima
504,"muhammad anwar bugti, sp",Terrorist incidents in Pakistan in 2012
505,"muhammad arif aslam, psp",Balochistan Police
506,muhammad ashraf,Ashraf
507,muhammad asif,Khawaja Muhammad Asif
508,"muhammad asim, psp",List of British Muslims
509,muhammad aslam khan,Muhammad Aslam Khan Raisani
510,muhammad ayaz,Fareed Ayaz
511,muhammad ayaz soomro,Ayaz Soomro
512,muhammad azam khan swati,Azam Khan Swati
513,muhammad baran,Bulandshahr
514,muhammad faisal vawda,Faisal Vawda
515,muhammad hammad azhar,Hammad Azhar
516,muhammad hanif kashmiri,List of Pakistani writers
