,ACCESS_METHOD_ID_,IsWeekDay_,Period_,CALL_DURATION_sum,CALL_DURATION_max,CALL_DURATION_min,CALL_DURATION_mean,NO_OF_CALLS_sum,NO_OF_CALLS_max,NO_OF_CALLS_min,NO_OF_CALLS_mean
328,-11491975,1,morning,57,21,1,3.8,18,3,1,1.2
329,-11491668,0,afternoon,33,16,1,3,13,2,1,1.182
330,-11491668,0,evening,121,32,1,8.64,16,2,1,1.143
331,-11491668,0,morning,67,60,1,9.57,8,2,1,1.143
332,-11491668,1,afternoon,333,64,1,7.086,52,2,1,1.106
333,-11491668,1,evening,199,39,1,4.977,43,2,1,1.075
334,-11491668,1,morning,194,47,1,9.7,20,1,1,1
335,-11488650,0,afternoon,6,2,1,1.2,6,2,1,1.2
336,-11488650,0,evening,2,1,1,1,2,1,1,1
337,-11488650,1,afternoon,14,3,1,1.556,10,2,1,1.111
338,-11488650,1,evening,24,6,1,2.182,13,2,1,1.182
339,-11488650,1,morning,13,6,1,2.6,6,2,1,1.2
340,-11486938,0,evening,1,1,1,1,1,1,1,1
341,-11486938,1,evening,1,1,1,1,1,1,1,1
342,-11486938,1,morning,6,2,1,1.5,5,2,1,1.25
343,-11486877,1,afternoon,77,50,1,9.625,9,2,1,1.125
344,-11486877,1,evening,8,6,1,2.666,3,1,1,1
345,-11486877,1,night,1,1,1,1,1,1,1,1
346,-11486427,0,afternoon,1,1,1,1,1,1,1,1
347,-11486427,0,morning,3,1,1,1,3,1,1,1
348,-11486427,1,afternoon,47,46,1,23.5,2,1,1,1
349,-11486427,1,evening,47,46,1,23.5,2,1,1,1
350,-11486427,1,morning,1,1,1,1,1,1,1,1
351,-11485897,0,afternoon,17,17,17,17,1,1,1,1
352,-11485897,0,evening,2,1,1,1,2,1,1,1
353,-11485897,0,night,3,2,1,1.5,2,1,1,1
354,-11485897,1,afternoon,29,29,29,29,1,1,1,1
355,-11485897,1,evening,292,60,1,16.22,18,1,1,1
356,-11485897,1,morning,1,1,1,1,1,1,1,1
357,-11485897,1,night,1,1,1,1,1,1,1,1
358,-11485327,0,afternoon,3,1,1,1,3,1,1,1
359,-11485327,1,evening,5,2,1,1.25,5,2,1,1.25
360,-11483266,0,afternoon,51,22,1,5.668,12,3,1,1.333
361,-11483266,0,evening,11,11,11,11,1,1,1,1
362,-11483266,1,afternoon,3,1,1,1,3,1,1,1
363,-11483266,1,evening,2,2,2,2,1,1,1,1
364,-11483266,1,morning,1,1,1,1,1,1,1,1
365,-11482982,1,morning,3,3,3,3,1,1,1,1
366,-11481249,0,afternoon,72,60,1,18,4,1,1,1
367,-11481249,0,evening,2,2,2,2,1,1,1,1
368,-11481249,1,morning,1,1,1,1,1,1,1,1
369,-11480372,1,afternoon,4,1,1,1,4,1,1,1
370,-11480372,1,evening,2,1,1,1,2,1,1,1
371,-11479249,0,afternoon,17,2,1,1.308,13,1,1,1
372,-11479249,0,evening,7,3,1,1.75,4,1,1,1
373,-11479249,0,morning,1,1,1,1,1,1,1,1
374,-11479249,1,afternoon,52,8,1,2,30,2,1,1.154
375,-11479249,1,evening,46,5,1,1.643,29,2,1,1.036
376,-11479249,1,morning,11,2,1,1.1,10,1,1,1
377,-11479249,1,night,2,2,2,2,1,1,1,1
378,-11476660,0,afternoon,296,59,1,8.46,49,6,1,1.4
379,-11476660,0,evening,152,35,1,3.8,48,3,1,1.2
380,-11476660,0,morning,357,51,1,14.28,29,2,1,1.16
381,-11476660,1,afternoon,883,65,1,12.266,123,4,1,1.708
382,-11476660,1,evening,449,68,1,8.016,79,7,1,1.411
383,-11476660,1,morning,532,69,1,7.6,95,9,1,1.357
384,-11476660,1,night,24,22,1,8,4,2,1,1.333
385,-11475436,0,afternoon,41,39,2,20.5,4,3,1,2
386,-11475436,0,evening,6,3,1,2,4,2,1,1.333
387,-11475436,0,morning,43,19,1,6.145,11,4,1,1.571
388,-11475436,1,afternoon,200,47,1,5.715,46,4,1,1.314
389,-11475436,1,evening,13,3,1,1.444,12,2,1,1.333
390,-11475436,1,morning,193,36,1,7.15,29,2,1,1.074
391,-11475396,0,afternoon,1,1,1,1,1,1,1,1
392,-11475396,1,afternoon,11,5,1,1.833,7,2,1,1.167
393,-11475396,1,evening,1,1,1,1,1,1,1,1
394,-11475396,1,morning,12,4,1,2.4,7,3,1,1.4
395,-11472643,0,afternoon,27,19,1,5.4,7,2,1,1.4
396,-11472643,0,evening,3,1,1,1,3,1,1,1
397,-11472643,0,morning,3,3,3,3,2,2,2,2
398,-11472643,1,afternoon,223,27,1,7.69,35,3,1,1.207
399,-11472643,1,evening,79,16,1,3.16,30,3,1,1.2
400,-11472643,1,morning,92,9,1,2.3,46,2,1,1.15
401,-11472643,1,night,2,2,2,2,1,1,1,1
402,-11469177,0,afternoon,23,6,1,1.917,14,2,1,1.167
403,-11469177,0,evening,29,13,1,2.637,11,1,1,1
404,-11469177,0,morning,21,4,1,2.334,9,1,1,1
405,-11469177,0,night,3,2,1,1.5,2,1,1,1
406,-11469177,1,afternoon,187,41,1,5.195,43,3,1,1.194
407,-11469177,1,evening,310,43,1,7.562,55,4,1,1.342
408,-11469177,1,morning,23,4,1,1.4375,17,2,1,1.0625
409,-11466832,0,afternoon,2,1,1,1,2,1,1,1
410,-11466832,1,afternoon,9,4,1,1.5,6,1,1,1
411,-11466832,1,morning,1,1,1,1,1,1,1,1
412,-11466832,1,night,1,1,1,1,1,1,1,1
413,-11464588,0,afternoon,2,2,2,2,2,2,2,2
414,-11464588,0,evening,2,1,1,1,2,1,1,1
415,-11464588,0,morning,6,2,2,2,4,2,1,1.333
416,-11464588,1,afternoon,23,12,1,2.875,10,2,1,1.25
417,-11464588,1,evening,8,5,1,2,4,1,1,1
418,-11464588,1,morning,5,3,2,2.5,4,3,1,2
419,-11464506,0,afternoon,16,2,1,1.23,14,2,1,1.077
420,-11464506,0,evening,10,2,1,1.111,9,1,1,1
421,-11464506,0,morning,7,2,1,1.4,5,1,1,1
422,-11464506,1,afternoon,7,1,1,1,7,1,1,1
423,-11464506,1,evening,20,3,1,1.667,13,2,1,1.083
424,-11464506,1,morning,9,2,1,1.286,8,2,1,1.143
425,-11464445,0,afternoon,1,1,1,1,1,1,1,1
426,-11464445,0,morning,94,33,1,11.75,9,2,1,1.125
427,-11464445,1,afternoon,11,4,1,2.2,5,1,1,1
428,-11464445,1,evening,4,3,1,2,2,1,1,1
